passenger_id,survived,pclass,name,sex,age,Depart date,Arrive date,t_no,fare,cabin_no,embarked
CL-VS-310336,2,1st,Blake Baker,Male,43,03-07-2013,11-12-2016,L12576,"£31,575.00",CLS-91,London
CL-VS-310337,3,1st,Ezra Hanna,Female,42,04-07-2013,12-12-2016,E25437,"£71,557.00",GEN-135,Queenstown
CL-VS-310338,0,3rd,Cynthia Colon,Female,58,05-07-2013,13-12-2016,R26474,"£45,979.00",PVT-125,Naples
CL-VS-310339,2,2nd,Bruce Campos,Male,42,06-07-2013,14-12-2016,A65544,"£29,784.00",CLS-92,Pula
CL-VS-310340,0,3rd,Sutton Hodges,Male,48,07-07-2013,15-12-2016,D25506,"£30,969.00",GEN-136,Rome
CL-VS-310341,1,2nd,Alonzo Dyer,Female,32,08-07-2013,16-12-2016,B45894,"£72,074.00",PVT-126,Valencia
CL-VS-310342,4,1st,Estrella Price,Male,47,09-07-2013,17-12-2016,P14804,"£21,336.00",CLS-93,Qran
CL-VS-310343,3,1st,Brooks Arnold,Female,45,10-07-2013,18-12-2016,Y98566,"£33,624.00",GEN-137,Nador
CL-VS-310344,1,3rd,Finley Gillespie,Female,34,11-07-2013,19-12-2016,C21564,"£52,047.00",PVT-127,Malaga
CL-VS-310345,3,2nd,Forest Olson,Male,35,12-07-2013,20-12-2016,V54144,"£77,381.00",CLS-94,Palma
CL-VS-310346,1,3rd,Isabel Pace,Male,44,13-07-2013,21-12-2016,K26507,"£68,455.00",GEN-138,Algeris
CL-VS-310347,0,2nd,Dior Buck,Female,51,14-07-2013,22-12-2016,L12577,"£49,714.00",PVT-128,Badalona
CL-VS-310348,2,1st,Livia Alexander,Male,54,15-07-2013,23-12-2016,E25438,"£37,672.00",CLS-95,Jijel
CL-VS-310349,3,1st,Kingston Martinez,Female,45,16-07-2013,24-12-2016,R26475,"£58,188.00",GEN-139,Nice
CL-VS-310350,2,3rd,Harper Flowers,Female,46,17-07-2013,25-12-2016,A65545,"£52,746.00",PVT-129,Annaba
CL-VS-310351,5,2nd,Saul Costa,Male,55,18-07-2013,26-12-2016,D25507,"£25,318.00",CLS-96,Bizerte
CL-VS-310352,4,3rd,Robin Corona,Male,40,19-07-2013,27-12-2016,B45895,"£76,709.00",GEN-140,Tunis
CL-VS-310353,0,2nd,Darian Carey,Female,59,20-07-2013,28-12-2016,P14805,"£24,257.00",PVT-130,Sfax
CL-VS-310354,4,1st,Alora Byrd,Male,43,21-07-2013,29-12-2016,Y98567,"£74,851.00",CLS-97,Venice
CL-VS-310355,6,1st,Cristian Marks,Female,37,22-07-2013,30-12-2016,C21565,"£30,188.00",GEN-141,Zliten
CL-VS-310356,6,3rd,Monica Bridges,Female,48,23-07-2013,31-12-2016,V54145,"£36,697.00",PVT-131,Palermo
CL-VS-310357,1,2nd,Mohammed Vazquez,Male,36,24-07-2013,01-01-2017,K26508,"£44,685.00",CLS-98,Zawiya
CL-VS-310358,4,3rd,Journee French,Male,44,25-07-2013,02-01-2017,L12578,"£67,433.00",GEN-142,Cherbourg
CL-VS-310359,1,2nd,Corey Roberson,Female,31,26-07-2013,03-01-2017,E25439,"£65,719.00",PVT-132,Southampton
CL-VS-310360,1,1st,Sasha Davila,Male,52,27-07-2013,04-01-2017,R26476,"£62,887.00",CLS-99,Manchester
CL-VS-310361,3,1st,Grey Bruce,Female,46,28-07-2013,05-01-2017,A65546,"£31,719.00",GEN-143,Paris
CL-VS-310362,2,3rd,Marilyn Nixon,Female,54,29-07-2013,06-01-2017,D25508,"£36,487.00",PVT-133,London
CL-VS-310363,2,2nd,Cory Perez,Male,40,30-07-2013,07-01-2017,B45896,"£28,925.00",CLS-100,Queenstown
CL-VS-310364,0,3rd,Eleanor Morrow,Male,32,31-07-2013,08-01-2017,P14806,"£58,538.00",GEN-144,Naples
CL-VS-310365,5,2nd,Kyree Parra,Female,52,01-08-2013,09-01-2017,Y98568,"£72,009.00",PVT-134,Pula
CL-VS-310366,0,1st,Dalary Young,Male,47,02-08-2013,10-01-2017,C21566,"£21,898.00",CLS-101,Rome
CL-VS-310367,2,1st,Asher Blankenship,Female,50,03-08-2013,11-01-2017,V54146,"£20,530.00",GEN-145,Valencia
CL-VS-310368,2,3rd,Rosalee Bryan,Female,51,04-08-2013,12-01-2017,K26509,"£60,026.00",PVT-135,Qran
CL-VS-310369,3,2nd,Jaxtyn Lloyd,Male,34,05-08-2013,13-01-2017,L12579,"£66,587.00",CLS-102,Nador
CL-VS-310370,0,3rd,Emely Liu,Male,43,06-08-2013,14-01-2017,E25440,"£20,558.00",GEN-146,Malaga
CL-VS-310371,2,2nd,Pedro Stewart,Female,31,07-08-2013,15-01-2017,R26477,"£74,248.00",PVT-136,Palma
CL-VS-310372,0,1st,Maya Wu,Male,54,08-08-2013,16-01-2017,A65547,"£79,216.00",CLS-103,Algeris
CL-VS-310373,5,1st,Kyson May,Female,50,09-08-2013,17-01-2017,D25509,"£25,498.00",GEN-147,Badalona
CL-VS-310374,3,3rd,Adriana Park,Female,53,10-08-2013,18-01-2017,B45897,"£76,890.00",PVT-137,Jijel
CL-VS-310375,1,2nd,Daxton Armstrong,Male,40,11-08-2013,19-01-2017,P14807,"£52,053.00",CLS-104,Nice
CL-VS-310376,5,3rd,Presley Vincent,Male,57,12-08-2013,20-01-2017,Y98569,"£37,020.00",GEN-148,Annaba
CL-VS-310377,2,2nd,Aarav Stephenson,Female,51,13-08-2013,21-01-2017,C21567,"£74,466.00",PVT-138,Bizerte
CL-VS-310378,1,1st,Khaleesi Bartlett,Male,46,14-08-2013,22-01-2017,V54147,"£64,507.00",CLS-105,Tunis
CL-VS-310379,0,1st,Kace Rocha,Female,53,15-08-2013,23-01-2017,K26510,"£45,426.00",GEN-149,Sfax
CL-VS-310380,6,3rd,Emmie Carroll,Female,56,16-08-2013,24-01-2017,L12580,"£43,458.00",PVT-139,Venice
CL-VS-310381,0,2nd,Oscar Guerrero,Male,32,17-08-2013,25-01-2017,E25441,"£50,267.00",CLS-106,Zliten
CL-VS-310382,1,3rd,Margot Kaur,Male,43,18-08-2013,26-01-2017,R26478,"£61,646.00",GEN-150,Palermo
CL-VS-310383,2,2nd,Augustine Khan,Female,40,19-08-2013,27-01-2017,A65548,"£68,723.00",PVT-140,Zawiya
CL-VS-310384,4,1st,Mabel Anthony,Male,36,20-08-2013,28-01-2017,D25510,"£40,339.00",CLS-107,Cherbourg
CL-VS-310385,0,1st,Shiloh Willis,Female,33,21-08-2013,29-01-2017,B45898,"£32,749.00",GEN-151,Southampton
CL-VS-310386,1,3rd,Alexa Bass,Female,31,22-08-2013,30-01-2017,P14808,"£47,234.00",PVT-141,Manchester
CL-VS-310387,6,2nd,Landen Wright,Male,35,23-08-2013,31-01-2017,Y98570,"£55,369.00",CLS-108,Paris
CL-VS-310388,2,3rd,Lily Hendricks,Male,34,24-08-2013,01-02-2017,C21568,"£59,810.00",GEN-152,London
CL-VS-310389,5,2nd,Dash Farley,Female,55,25-08-2013,02-02-2017,V54148,"£46,956.00",PVT-142,Queenstown
CL-VS-310390,6,1st,Wrenley Floyd,Male,54,26-08-2013,03-02-2017,K26511,"£57,697.00",CLS-109,Naples
CL-VS-310391,0,1st,Pierce Padilla,Female,54,27-08-2013,04-02-2017,L12581,"£67,146.00",GEN-153,Pula
CL-VS-310392,5,3rd,Maggie Shepherd,Female,58,28-08-2013,05-02-2017,E25442,"£41,777.00",PVT-143,Rome
CL-VS-310393,2,2nd,Ronald Jacobson,Male,40,29-08-2013,06-02-2017,R26479,"£46,537.00",CLS-110,Valencia
CL-VS-310394,2,3rd,Royal Bennett,Male,34,30-08-2013,07-02-2017,A65549,"£25,624.00",GEN-154,Qran
CL-VS-310395,1,2nd,Leonardo Fry,Female,58,31-08-2013,08-02-2017,D25511,"£77,058.00",PVT-144,Nador
CL-VS-310396,4,1st,Clarissa Fischer,Male,45,01-09-2013,09-02-2017,B45899,"£68,268.00",CLS-111,Malaga
CL-VS-310397,2,1st,Leonidas Allison,Female,48,02-09-2013,10-02-2017,P14809,"£46,753.00",GEN-155,Palma
CL-VS-310398,5,3rd,Chelsea McKee,Female,32,03-09-2013,11-02-2017,Y98571,"£72,602.00",PVT-145,Algeris
CL-VS-310399,4,2nd,Bjorn Webster,Male,57,04-09-2013,12-02-2017,C21569,"£23,607.00",CLS-112,Badalona
CL-VS-310400,2,3rd,Kensley Potts,Male,42,05-09-2013,13-02-2017,V54149,"£75,413.00",GEN-156,Jijel
CL-VS-310401,6,2nd,Alfred Rush,Female,41,06-09-2013,14-02-2017,K26512,"£44,629.00",PVT-146,Nice
CL-VS-310402,1,1st,Maleah Neal,Male,43,07-09-2013,15-02-2017,L12582,"£33,622.00",CLS-113,Annaba
CL-VS-310403,5,1st,Kane Cline,Female,43,08-09-2013,16-02-2017,E25443,"£34,821.00",GEN-157,Bizerte
CL-VS-310404,4,3rd,Lina Ford,Female,43,09-09-2013,17-02-2017,R26480,"£49,920.00",PVT-147,Tunis
CL-VS-310405,2,2nd,Luis Best,Male,37,10-09-2013,18-02-2017,A65550,"£68,578.00",CLS-114,Sfax
CL-VS-310406,0,3rd,Lexie Parrish,Male,44,11-09-2013,19-02-2017,D25512,"£26,418.00",GEN-158,Venice
CL-VS-310407,0,2nd,Karsyn Wallace,Female,33,12-09-2013,20-02-2017,B45900,"£76,854.00",PVT-148,Zliten
CL-VS-310408,2,1st,Arianna Foley,Male,47,13-09-2013,21-02-2017,P14810,"£45,656.00",CLS-115,Palermo
CL-VS-310409,6,1st,Mohammad Brock,Female,52,14-09-2013,22-02-2017,Y98572,"£24,837.00",GEN-159,Zawiya
CL-VS-310410,3,3rd,Jada Maynard,Female,33,15-09-2013,23-02-2017,C21570,"£36,940.00",PVT-149,Cherbourg
CL-VS-310411,2,2nd,Landry Mueller,Male,55,16-09-2013,24-02-2017,V54150,"£41,209.00",CLS-116,Southampton
CL-VS-310412,4,3rd,Imani Christian,Male,36,17-09-2013,25-02-2017,K26513,"£71,008.00",GEN-160,Manchester
CL-VS-310413,5,2nd,Ledger Ayala,Female,46,18-09-2013,26-02-2017,L12583,"£72,557.00",PVT-150,Paris
CL-VS-310414,5,1st,Blair Galindo,Male,46,19-09-2013,27-02-2017,E25444,"£56,208.00",CLS-117,London
CL-VS-310415,3,1st,Salvatore Myers,Female,54,20-09-2013,28-02-2017,R26481,"£75,353.00",GEN-161,Queenstown
CL-VS-310416,0,3rd,Lydia Moyer,Female,34,21-09-2013,01-03-2017,A65551,"£69,080.00",PVT-151,Naples
CL-VS-310417,0,2nd,Ahmir Swanson,Male,31,22-09-2013,02-Mar-17,D25513,"£23,257.00",CLS-118,Pula
CL-VS-310418,2,3rd,Helen Gordon,Male,45,23-09-2013,03-Mar-17,B45901,"£51,454.00",GEN-162,Rome
CL-VS-310419,4,2nd,Karter McMahon,Female,35,24-09-2013,04-Mar-17,P14811,"£40,721.00",PVT-152,Valencia
CL-VS-310420,2,1st,Belen Roberts,Male,42,25-09-2013,05-Mar-17,Y98573,"£68,315.00",CLS-119,Qran
CL-VS-310421,2,1st,Josiah Williams,Female,47,26-09-2013,06-Mar-17,C21571,"£59,360.00",GEN-163,Nador
AS-SV-144012,1,3rd,Ava Thompson,Female,47,27-09-2013,07-Mar-17,V54151,"£66,930.00",PVT-153,Malaga
AS-SV-144013,4,2nd,Theodore Meyer,Male,32,28-09-2013,08-Mar-17,K26514,"£55,251.00",CLS-120,Palma
AS-SV-144014,4,3rd,Sara Browning,Male,56,29-09-2013,09-Mar-17,L12584,"£73,898.00",GEN-164,Algeris
AS-SV-144015,2,2nd,Rohan Harrell,Female,51,30-09-2013,10-Mar-17,E25445,"£55,710.00",PVT-154,Badalona
AS-SV-144016,1,1st,Kara Riley,Male,30,01-10-2013,11-Mar-17,R26482,"£58,694.00",CLS-121,Jijel
AS-SV-144017,0,1st,Amari Grant,Female,36,02-10-2013,12-Mar-17,A65552,"£47,327.00",GEN-165,Nice
AS-SV-144018,0,3rd,Alaina Tapia,Female,48,03-10-2013,13-Mar-17,D25514,"£69,482.00",PVT-155,Annaba
AS-SV-144019,4,2nd,Samir Love,Male,31,04-10-2013,14-Mar-17,B45902,"£21,196.00",CLS-122,Bizerte
AS-SV-144020,5,3rd,Avianna Wilkins,Male,40,05-10-2013,15-Mar-17,P14812,"£68,275.00",GEN-166,Tunis
AS-SV-144021,2,2nd,Yusuf Weeks,Female,30,06-10-2013,16-Mar-17,Y98574,"£41,441.00",PVT-156,Sfax
AS-SV-144022,0,1st,Karen Cain,Male,43,07-10-2013,17-Mar-17,C21572,"£57,153.00",CLS-123,Venice
AS-SV-144023,2,1st,Benson Lawson,Female,57,08-10-2013,18-Mar-17,V54152,"£71,970.00",GEN-167,Zliten
AS-SV-144024,6,3rd,Phoebe Torres,Female,33,09-10-2013,19-Mar-17,K26515,"£44,273.00",PVT-157,Palermo
AS-SV-144025,4,2nd,Jayden Drake,Male,35,10-10-2013,20-Mar-17,L12585,"£23,922.00",CLS-124,Zawiya
AS-SV-144026,4,3rd,Jayleen Santos,Male,39,11-10-2013,21-Mar-17,E25446,"£35,257.00",GEN-168,Cherbourg
AS-SV-144027,0,2nd,Walker Wyatt,Female,35,12-10-2013,22-Mar-17,R26483,"£70,469.00",PVT-158,Southampton
AS-SV-144028,3,1st,Liberty Craig,Male,40,13-10-2013,23-Mar-17,A65553,"£31,238.00",CLS-125,Manchester
AS-SV-144029,0,1st,Odin Bullock,Female,54,14-10-2013,24-Mar-17,D25515,"£54,279.00",GEN-169,Paris
AS-SV-144030,2,3rd,Winnie Clements,Female,35,15-10-2013,25-Mar-17,B45903,"£65,711.00",PVT-159,London
AS-SV-144031,2,2nd,Fisher Vance,Male,47,16-10-2013,26-Mar-17,P14813,"£43,361.00",CLS-126,Queenstown
AS-SV-144032,5,3rd,Maxine Farley,Male,36,17-10-2013,27-Mar-17,Y98575,"£71,772.00",GEN-170,Naples
AS-SV-144033,4,2nd,Graysen Patel,Female,55,18-10-2013,28-Mar-17,C21573,"£54,113.00",PVT-160,Pula
AS-SV-144034,2,1st,Madeline Pearson,Male,49,19-10-2013,29-Mar-17,V54153,"£59,533.00",CLS-127,Rome
AS-SV-144035,2,1st,Gunner Armstrong,Female,56,20-10-2013,30-Mar-17,K26516,"£48,873.00",GEN-171,Valencia
AS-SV-144036,3,3rd,Presley Lee,Female,36,21-10-2013,31-Mar-17,L12586,"£57,526.00",PVT-161,Qran
AS-SV-144037,2,2nd,Jack Frederick,Male,57,22-10-2013,01-Apr-17,E25447,"£34,139.00",CLS-128,Nador
AS-SV-144038,2,3rd,Sariyah Hayes,Male,58,23-10-2013,02-Apr-17,R26484,"£76,817.00",GEN-172,Malaga
AS-SV-144039,5,2nd,Legend Hernandez,Female,31,24-10-2013,03-Apr-17,A65554,"£50,397.00",PVT-162,Palma
AS-SV-144040,5,1st,Camila Dunn,Male,53,25-10-2013,04-Apr-17,D25516,"£23,456.00",CLS-129,Algeris
AS-SV-144041,3,1st,Dawson Little,Female,53,26-10-2013,05-Apr-17,B45904,"£25,651.00",GEN-173,Badalona
AS-SV-144042,2,3rd,Harley Lowe,Female,54,27-10-2013,06-Apr-17,P14814,"£66,621.00",PVT-163,Jijel
AS-SV-144043,2,2nd,Julius Doyle,Male,35,28-10-2013,07-Apr-17,Y98576,"£39,994.00",CLS-130,Nice
AS-SV-144044,6,3rd,Annalise Strickland,Male,37,29-10-2013,08-Apr-17,C21574,"£37,485.00",GEN-174,Annaba
AS-SV-144045,0,2nd,Keegan Chandler,Female,58,30-10-2013,09-Apr-17,V54154,"£40,825.00",PVT-164,Bizerte
AS-SV-144046,0,1st,Viviana Cordova,Male,54,31-10-2013,10-Apr-17,K26517,"£73,722.00",CLS-131,Tunis
AS-SV-144047,3,1st,Vicente Warner,Female,35,01-11-2013,11-Apr-17,L12587,"£39,400.00",GEN-175,Sfax
AS-SV-144048,2,3rd,Wynter Yoder,Female,36,02-11-2013,12-Apr-17,E25448,"£33,235.00",PVT-165,Venice
AS-SV-144049,3,2nd,Johan Ray,Male,49,03-11-2013,13-Apr-17,R26485,"£38,776.00",CLS-132,Zliten
AS-SV-144050,6,3rd,Ruth Chung,Male,46,04-11-2013,14-Apr-17,A65555,"£38,504.00",GEN-176,Palermo
AS-SV-144051,5,2nd,Ira Horn,Female,46,05-11-2013,15-Apr-17,D25517,"£58,739.00",PVT-166,Zawiya
AS-SV-144052,6,1st,Avah Zimmerman,Male,53,06-11-2013,16-Apr-17,B45905,"£40,969.00",CLS-133,Cherbourg
AS-SV-144053,3,1st,Sergio Cummings,Female,57,07-11-2013,17-Apr-17,P14815,"£45,874.00",GEN-177,Southampton
AS-SV-144054,2,3rd,Nylah McKee,Female,59,08-11-2013,18-Apr-17,Y98577,"£48,742.00",PVT-167,Manchester
AS-SV-144055,4,2nd,Bjorn Hendricks,Male,41,09-11-2013,19-Apr-17,C21575,"£41,660.00",CLS-134,Paris
AS-SV-144056,5,3rd,Dani Barajas,Male,40,10-11-2013,20-Apr-17,V54155,"£28,281.00",GEN-178,London
AS-SV-144057,0,2nd,Brennan Munoz,Female,53,11-11-2013,21-Apr-17,K26518,"£73,672.00",PVT-168,Queenstown
AS-SV-144058,4,1st,Kehlani Ellison,Male,43,12-11-2013,22-Apr-17,L12588,"£50,996.00",CLS-135,Naples
AS-SV-144059,0,1st,Kye Pearson,Female,54,13-11-2013,23-Apr-17,E25449,"£71,597.00",GEN-179,Pula
AS-SV-144060,0,3rd,Kiara Wheeler,Female,50,14-11-2013,24-Apr-17,R26486,"£20,811.00",PVT-169,Rome
AS-SV-144061,2,2nd,Kenneth Wall,Male,53,15-11-2013,25-Apr-17,A65556,"£71,790.00",CLS-136,Valencia
AS-SV-144062,0,3rd,Jayda Keller,Male,32,16-11-2013,26-Apr-17,D25518,"£22,231.00",GEN-180,Qran
AS-SV-144063,2,2nd,Nico Nielsen,Female,39,17-11-2013,27-Apr-17,B45906,"£25,524.00",PVT-170,Nador
AS-SV-144064,5,1st,Vienna McMahon,Male,58,18-11-2013,28-Apr-17,P14816,"£43,309.00",CLS-137,Malaga
AS-SV-144065,2,1st,Jakob Carrillo,Female,35,19-11-2013,29-Apr-17,Y98578,"£66,757.00",GEN-181,Palma
AS-SV-144066,0,3rd,Kaylani Dorsey,Female,34,20-11-2013,30-Apr-17,C21576,"£43,226.00",PVT-171,Algeris
AS-SV-144067,0,2nd,Enoch Nolan,Male,47,21-11-2013,01-May-17,V54156,"£78,868.00",CLS-138,Badalona
AS-SV-144068,2,3rd,Itzayana Hail,Male,31,22-11-2013,02-May-17,K26519,"£31,972.00",GEN-182,Jijel
AS-SV-144069,4,2nd,Hector Rogers,Female,30,23-11-2013,03-May-17,L12589,"£42,441.00",PVT-172,Nice
AS-SV-144070,0,1st,Madelyn Kemp,Male,39,24-11-2013,04-May-17,E25450,"£71,606.00",CLS-139,Annaba
AS-SV-144071,3,1st,Melvin Medrano,Female,43,25-11-2013,05-May-17,R26487,"£67,887.00",GEN-183,Bizerte
AS-SV-144072,3,3rd,Halle Berg,Female,50,26-11-2013,06-May-17,A65557,"£46,880.00",PVT-173,Tunis
AS-SV-144073,1,2nd,Cayson Orr,Male,36,27-11-2013,07-May-17,D25519,"£27,466.00",CLS-140,Sfax
AS-SV-144074,3,3rd,Alaiya Hodge,Male,49,28-11-2013,08-May-17,B45907,"£79,401.00",GEN-184,Venice
AS-SV-144075,1,2nd,Reign Parrish,Female,53,29-11-2013,09-May-17,P14817,"£78,122.00",PVT-174,Zliten
AS-SV-144076,2,1st,Tiana Hill,Male,45,30-11-2013,10-May-17,Y98579,"£48,988.00",CLS-141,Palermo
AS-SV-144077,5,1st,Isaac Decker,Female,47,01-12-2013,11-May-17,C21577,"£61,607.00",GEN-185,Zawiya
AS-SV-144078,4,3rd,Aleena Thornton,Female,44,02-12-2013,12-May-17,V54157,"£71,386.00",PVT-175,Cherbourg
AS-SV-144079,6,2nd,Malik Zhang,Male,54,03-12-2013,13-May-17,K26520,"£63,888.00",CLS-142,Southampton
AS-SV-144080,4,3rd,Sarai Bowen,Male,57,04-12-2013,14-May-17,L12590,"£50,580.00",GEN-186,Manchester
AS-SV-144081,3,2nd,Trevor Hudson,Female,56,05-12-2013,15-May-17,E25451,"£72,757.00",PVT-176,Paris
AS-SV-144082,2,1st,Kamila Carter,Male,44,06-12-2013,16-May-17,R26488,"£24,079.00",CLS-143,London
AS-SV-144083,5,1st,Maverick Fitzgerald,Female,44,07-12-2013,17-May-17,A65558,"£54,611.00",GEN-187,Queenstown
AS-SV-144084,0,3rd,Marlee Greene,Female,48,08-12-2013,18-May-17,D25520,"£23,196.00",PVT-177,Naples
WL-PV-21012,6,2nd,Griffin Hodge,Male,54,09-12-2013,19-May-17,B45908,"£78,211.00",CLS-144,Pula
WL-PV-21013,5,3rd,Coraline Arellano,Male,49,10-12-2013,20-May-17,P14818,"£55,812.00",GEN-188,Rome
WL-PV-21014,0,2nd,Kellan Levy,Female,54,11-12-2013,21-May-17,Y98580,"£57,621.00",PVT-178,Valencia
WL-PV-21015,2,1st,Flora Frost,Male,37,12-12-2013,22-May-17,C21578,"£54,818.00",CLS-145,Qran
WL-PV-21016,4,1st,Dario Leon,Female,47,13-12-2013,23-May-17,V54158,"£55,102.00",GEN-189,Nador
WL-PV-21017,2,3rd,Amora Potter,Female,33,14-12-2013,24-May-17,K26521,"£27,038.00",PVT-179,Malaga
WL-PV-21018,5,2nd,Lucca Estrada,Male,44,15-12-2013,25-May-17,L12591,"£38,395.00",CLS-146,Palma
WL-PV-21019,4,3rd,Sawyer Pace,Male,34,16-12-2013,26-May-17,E25452,"£43,287.00",GEN-190,Algeris
WL-PV-21020,4,2nd,Dior Lowe,Female,48,17-12-2013,27-May-17,R26489,"£48,169.00",PVT-180,Badalona
WL-PV-21021,6,1st,Amari Everett,Male,39,18-12-2013,28-May-17,A65559,"£74,367.00",CLS-147,Jijel
WL-PV-21022,5,1st,Camilo Vasquez,Female,58,19-12-2013,29-May-17,D25521,"£33,295.00",GEN-191,Nice
WL-PV-21023,5,3rd,Rose Cortez,Female,50,20-12-2013,30-May-17,B45909,"£74,153.00",PVT-181,Annaba
WL-PV-21024,4,2nd,Zayn Middleton,Male,55,21-12-2013,31-May-17,P14819,"£64,155.00",CLS-148,Bizerte
WL-PV-21025,2,3rd,Madalyn Keller,Male,57,22-12-2013,01-Jun-17,Y98581,"£48,993.00",GEN-192,Tunis
WL-PV-21026,5,2nd,Nico McDaniel,Female,50,23-12-2013,02-Jun-17,C21579,"£22,019.00",PVT-182,Sfax
WL-PV-21027,6,1st,Dahlia Roberts,Male,47,24-12-2013,03-Jun-17,V54159,"£59,233.00",CLS-149,Venice
WL-PV-21028,3,1st,Josiah Le,Female,57,25-12-2013,04-Jun-17,K26522,"£61,060.00",GEN-193,Zliten
WL-PV-21029,0,3rd,Myla Schmidt,Female,58,26-12-2013,05-Jun-17,L12592,"£21,406.00",PVT-183,Palermo
WL-PV-21030,1,2nd,Zayden Torres,Male,40,27-12-2013,06-Jun-17,E25453,"£44,566.00",CLS-150,Zawiya
WL-PV-21031,5,3rd,Violet Potts,Male,46,28-12-2013,07-Jun-17,R26490,"£62,493.00",GEN-194,Cherbourg
WL-PV-21032,5,2nd,Alfred Caldwell,Female,47,29-12-2013,08-Jun-17,A65560,"£23,756.00",PVT-184,Southampton
WL-PV-21033,2,1st,Evelynn Weeks,Male,57,30-12-2013,09-Jun-17,D25522,"£34,768.00",CLS-151,Manchester
WL-PV-21034,3,1st,Anders Kim,Female,57,31-12-2013,10-Jun-17,B45910,"£63,752.00",GEN-195,Paris
WL-PV-21035,4,3rd,Gabriella Finley,Female,57,01-01-2014,11-Jun-17,P14820,"£25,313.00",PVT-185,London
WL-PV-21036,6,2nd,Calum Lamb,Male,35,02-01-2014,12-Jun-17,Y98582,"£73,388.00",CLS-152,Queenstown
WL-PV-21037,6,3rd,Amaia Conrad,Male,36,03-01-2014,13-Jun-17,C21580,"£60,565.00",GEN-196,Naples
WL-PV-21038,6,2nd,Dilan Bowers,Female,52,04-01-2014,14-Jun-17,V54160,"£35,465.00",PVT-186,Pula
WL-PV-21039,0,1st,Elisa Erickson,Male,53,05-01-2014,15-Jun-17,K26523,"£43,411.00",CLS-153,Rome
WL-PV-21040,3,1st,Johnny Porter,Female,40,06-01-2014,16-Jun-17,L12593,"£58,105.00",GEN-197,Valencia
WL-PV-21041,2,3rd,Ryleigh Brewer,Female,30,07-01-2014,17-Jun-17,E25454,"£26,752.00",PVT-187,Qran
WL-PV-21042,1,2nd,Cruz Kaur,Male,52,08-01-2014,18-Jun-17,R26491,"£47,758.00",CLS-154,Nador
WL-PV-21043,3,3rd,Holland Nguyen,Male,42,09-01-2014,19-Jun-17,A65561,"£72,015.00",GEN-198,Malaga
WL-PV-21044,6,2nd,Gabriel Simpson,Female,34,10-01-2014,20-Jun-17,D25523,"£70,804.00",PVT-188,Palma
WL-PV-21045,5,1st,Anastasia Russo,Male,42,11-01-2014,21-Jun-17,B45911,"£71,484.00",CLS-155,Algeris
WL-PV-21046,0,1st,Jamie Lane,Female,53,12-01-2014,22-Jun-17,P14821,"£40,152.00",GEN-199,Badalona
WL-PV-21047,1,3rd,Amy Cano,Female,36,13-01-2014,23-Jun-17,Y98583,"£45,403.00",PVT-189,Jijel
WL-PV-21048,5,2nd,Terry Morton,Male,33,14-01-2014,24-Jun-17,C21581,"£76,375.00",CLS-156,Nice
WL-PV-21049,3,3rd,Mallory Logan,Male,41,15-01-2014,25-Jun-17,V54161,"£60,137.00",GEN-200,Annaba
WL-PV-21050,4,2nd,Rocco Lynch,Female,47,16-01-2014,26-Jun-17,K26524,"£77,101.00",PVT-190,Bizerte
WL-PV-21051,5,1st,Malia Chang,Male,53,17-01-2014,27-Jun-17,L12594,"£42,310.00",CLS-157,Tunis
WL-PV-21052,2,1st,Ari Cohen,Female,41,18-01-2014,28-Jun-17,E25455,"£28,868.00",GEN-201,Sfax
WL-PV-21053,3,3rd,Destiny Jarvis,Female,37,19-01-2014,29-Jun-17,R26492,"£39,369.00",PVT-191,Venice
WL-PV-21054,4,2nd,Marlon McMahon,Male,38,20-01-2014,30-Jun-17,A65562,"£56,623.00",CLS-158,Zliten
WL-PV-21055,3,3rd,Belen Robbins,Male,35,21-01-2014,01-Jul-17,D25524,"£47,631.00",GEN-202,Palermo
WL-PV-21056,1,2nd,Finnegan Peters,Female,33,22-01-2014,02-Jul-17,B45912,"£62,848.00",PVT-192,Zawiya
WL-PV-21057,3,1st,Leila Kline,Male,38,23-01-2014,03-Jul-17,P14822,"£64,426.00",CLS-159,Cherbourg
WL-PV-21058,1,1st,Ramon Meyers,Female,34,24-01-2014,04-Jul-17,Y98584,"£52,944.00",GEN-203,Southampton
WL-PV-21059,4,3rd,Leyla Curry,Female,31,25-01-2014,05-Jul-17,C21582,"£37,346.00",PVT-193,Manchester
WL-PV-21060,3,2nd,Briggs Avalos,Male,52,26-01-2014,06-Jul-17,V54162,"£28,396.00",CLS-160,Paris
WL-PV-21061,3,3rd,Paloma Merritt,Male,48,27-01-2014,07-Jul-17,K26525,"£26,109.00",GEN-204,London
WL-PV-21062,0,2nd,Colten Greene,Female,51,28-01-2014,08-Jul-17,L12595,"£50,914.00",PVT-194,Queenstown
WL-PV-21063,5,1st,Selena Goodman,Male,38,29-01-2014,09-Jul-17,E25456,"£75,137.00",CLS-161,Naples
WL-PV-21064,6,1st,Philip Avery,Female,31,30-01-2014,10-Jul-17,R26493,"£68,005.00",GEN-205,Pula
WL-PV-21065,6,3rd,Meghan Bishop,Female,41,31-01-2014,11-Jul-17,A65563,"£24,161.00",PVT-195,Rome
